dataset,noise_sigma,success_rate,median_distance,median_inflation
breast_cancer,0.0,1.0,0.5970103322976723,1.0
breast_cancer,0.01,1.0,0.5994408371713293,1.0012600028306369
breast_cancer,0.03,1.0,0.601576223638749,0.9930234750861641
breast_cancer,0.05,1.0,0.5813615749615002,0.9897049668171324
breast_cancer,0.1,1.0,0.621700161852649,0.9927513054699174
digits_0_vs_1,0.0,1.0,1.1724359323707603,1.0
digits_0_vs_1,0.01,1.0,1.164447461061663,1.000125555219165
digits_0_vs_1,0.03,1.0,1.176028586920996,0.9977890903986992
digits_0_vs_1,0.05,1.0,1.1815300379608182,1.0000221120911026
digits_0_vs_1,0.1,1.0,1.078351672444092,0.9950517055682815
iris_binary,0.0,0.88,0.7955189480126407,1.0
iris_binary,0.01,0.88,0.803987059337526,0.9983326502376715
iris_binary,0.03,0.88,0.8014482420018135,0.9996480384346096
iris_binary,0.05,0.88,0.8121015731618457,0.9995576744795913
iris_binary,0.1,0.88,0.8556499374695177,1.0026561629736572
synthetic_20,0.0,1.0,0.496793838226235,1.0
synthetic_20,0.01,1.0,0.5028713668038001,0.9989237429649332
synthetic_20,0.03,1.0,0.5084575262596485,0.9987329986493341
synthetic_20,0.05,1.0,0.47365075942292983,1.0101396458140088
synthetic_20,0.1,1.0,0.4731161258886696,0.9853020306716056
wine_binary,0.0,1.0,1.0040523298908337,1.0
wine_binary,0.01,1.0,1.0147880473248398,0.9999257007867457
wine_binary,0.03,1.0,1.0088858492530042,0.9988851653046084
wine_binary,0.05,1.0,1.0000058705456294,0.9941311589837215
wine_binary,0.1,1.0,1.0051162523740154,1.0038704426830618
