dataset,seed,method,success_rate,median_distance,median_runtime_ms
breast_cancer,0,nearest_neighbor,1.0,3.3162951317599765,0.014550008927471936
breast_cancer,0,random_search,1.0,1.5394268333115155,0.4290000069886446
breast_cancer,0,treesat_exact,1.0,0.46022131407537714,0.06289999873843044
breast_cancer,1,nearest_neighbor,1.0,3.836755633585141,0.013250013580545783
breast_cancer,1,random_search,1.0,1.9041403994616726,0.4046499961987138
breast_cancer,1,treesat_exact,1.0,0.5087884817355517,0.060399994254112244
breast_cancer,2,nearest_neighbor,1.0,2.901690194887364,0.013900003978051245
breast_cancer,2,random_search,1.0,1.9092697902024736,0.40970000554807484
breast_cancer,2,treesat_exact,1.0,0.5646060002842452,0.061049999203532934
breast_cancer,3,nearest_neighbor,1.0,3.3562957489668994,0.017149985069409013
breast_cancer,3,random_search,0.9666666666666667,1.7923858993989101,0.40889999945648015
breast_cancer,3,treesat_exact,1.0,0.5799700417550854,0.0892000098247081
breast_cancer,4,nearest_neighbor,1.0,3.807704831949799,0.015500001609325409
breast_cancer,4,random_search,1.0,1.9820848197530596,0.41380002221558243
breast_cancer,4,treesat_exact,1.0,0.48565463893928357,0.06489999941550195
breast_cancer,5,nearest_neighbor,1.0,3.3614532394113357,0.017099999240599573
breast_cancer,5,random_search,1.0,1.9670841913566361,0.4294499958632514
breast_cancer,5,treesat_exact,1.0,0.5612475331098432,0.06819999543949962
breast_cancer,6,nearest_neighbor,1.0,3.9076308849809958,0.016049991245381534
breast_cancer,6,random_search,1.0,2.358856536562096,0.41370000690221786
breast_cancer,6,treesat_exact,1.0,0.6667945302742082,0.06330000178422779
breast_cancer,7,nearest_neighbor,1.0,3.9749823840838747,0.016099991626106203
breast_cancer,7,random_search,0.9333333333333333,3.081713747574769,0.4083499952685088
breast_cancer,7,treesat_exact,1.0,0.768054616235927,0.06310000026132911
breast_cancer,8,nearest_neighbor,1.0,4.055866211733122,0.017950005712918937
breast_cancer,8,random_search,1.0,1.8017759735182581,0.47324999468401074
breast_cancer,8,treesat_exact,1.0,0.497580793775811,0.07115000335033983
breast_cancer,9,nearest_neighbor,1.0,3.454777644117699,0.015350000467151403
breast_cancer,9,random_search,1.0,2.06799562928071,0.42270000267308205
breast_cancer,9,treesat_exact,1.0,0.6250571146077055,0.06215000757947564
breast_cancer,10,nearest_neighbor,1.0,3.5484345691860737,0.016249992768280208
breast_cancer,10,random_search,1.0,2.4029897846585175,0.41110000165645033
breast_cancer,10,treesat_exact,1.0,0.7269755731376182,0.06909998774062842
breast_cancer,11,nearest_neighbor,1.0,3.9136745365070658,0.013650002074427903
breast_cancer,11,random_search,1.0,2.900075109575692,0.40324998553842306
breast_cancer,11,treesat_exact,1.0,0.7895400056769706,0.06010000652167946
breast_cancer,12,nearest_neighbor,1.0,3.3374303232984235,0.01589999010320753
breast_cancer,12,random_search,1.0,2.001586304221411,0.40550000267103314
breast_cancer,12,treesat_exact,1.0,0.5118346064961186,0.059550016885623336
breast_cancer,13,nearest_neighbor,1.0,3.4977395549833172,0.015099998563528061
breast_cancer,13,random_search,1.0,2.1893040266769814,0.42565001058392227
breast_cancer,13,treesat_exact,1.0,0.5786652624780034,0.06340000254567713
breast_cancer,14,nearest_neighbor,1.0,3.6728614129720283,0.013100012438371778
breast_cancer,14,random_search,1.0,1.8747774357278888,0.39465000736527145
breast_cancer,14,treesat_exact,1.0,0.560930558392394,0.05805000546388328
breast_cancer,15,nearest_neighbor,1.0,3.5386572265588874,0.016399993910454214
breast_cancer,15,random_search,0.9666666666666667,2.2611877275469174,0.4041500069433823
breast_cancer,15,treesat_exact,1.0,0.8248688528772383,0.07059998461045325
breast_cancer,16,nearest_neighbor,1.0,3.4052791273201777,0.015099984011612833
breast_cancer,16,random_search,1.0,1.9110754633250855,0.41259999852627516
breast_cancer,16,treesat_exact,1.0,0.6039506989629748,0.06125001527834684
breast_cancer,17,nearest_neighbor,1.0,3.7245221120160568,0.014249992091208696
breast_cancer,17,random_search,1.0,2.039094735139301,0.4045999958179891
breast_cancer,17,treesat_exact,1.0,0.5038324443188382,0.06219997885636985
breast_cancer,18,nearest_neighbor,1.0,3.823769311416987,0.015450015780515969
breast_cancer,18,random_search,1.0,2.307125650781988,0.407150000683032
breast_cancer,18,treesat_exact,1.0,0.81263636311064,0.06220000796020031
breast_cancer,19,nearest_neighbor,1.0,4.188920524348807,0.016200006939470768
breast_cancer,19,random_search,1.0,3.667622869994688,0.3923499898519367
breast_cancer,19,treesat_exact,1.0,0.9022412323323459,0.060250007663853467
digits_0_vs_1,0,nearest_neighbor,1.0,8.198799520679142,0.014349992852658033
digits_0_vs_1,0,random_search,1.0,3.7494898164404136,0.5432500038295984
digits_0_vs_1,0,treesat_exact,1.0,1.1672633011357096,0.057199998991563916
digits_0_vs_1,1,nearest_neighbor,1.0,8.140490928628658,0.014199991710484028
digits_0_vs_1,1,random_search,1.0,0.7425664818453511,0.5576499970629811
digits_0_vs_1,1,treesat_exact,1.0,0.0967624497266831,0.054500007536262274
digits_0_vs_1,2,nearest_neighbor,1.0,8.356996747445258,0.027650006813928485
digits_0_vs_1,2,random_search,1.0,0.6317368040555642,0.9690500010037795
