dataset,seed,query_id,method,runtime_ms,distance_l2,success
breast_cancer,0,0,treesat_exact,0.10160000056202989,0.16072203118186226,1
breast_cancer,0,0,nearest_neighbor,0.02370000038354192,3.0854550722334477,1
breast_cancer,0,0,random_search,0.8500999992975267,0.6197690303455589,1
breast_cancer,0,1,treesat_exact,0.08479999996779952,0.2975400858174128,1
breast_cancer,0,1,nearest_neighbor,0.04509999962465372,3.130630145825508,1
breast_cancer,0,1,random_search,0.4487999995035352,1.355287875522443,1
breast_cancer,0,2,treesat_exact,0.05759999839938246,0.6506307533732318,1
breast_cancer,0,2,nearest_neighbor,0.01340000017080456,4.028856838814168,1
breast_cancer,0,2,random_search,0.40859999899112154,1.845685463225311,1
breast_cancer,0,3,treesat_exact,0.05610000152955763,0.20389494274672273,1
breast_cancer,0,3,nearest_neighbor,0.013299999409355223,2.539849847645424,1
breast_cancer,0,3,random_search,0.3907999998773448,1.1314855433527877,1
breast_cancer,0,4,treesat_exact,0.056599999879836105,0.40972552102118776,1
breast_cancer,0,4,nearest_neighbor,0.013300001228344627,5.490358175113679,1
breast_cancer,0,4,random_search,0.3952999995817663,1.0671825818680334,1
breast_cancer,0,5,treesat_exact,0.0562999994144775,0.5404908611848829,1
breast_cancer,0,5,nearest_neighbor,0.01359999987471383,4.379117489057707,1
breast_cancer,0,5,random_search,0.42100000064237975,1.7235657911005882,1
breast_cancer,0,6,treesat_exact,0.060200000007171184,0.4130681954005144,1
breast_cancer,0,6,nearest_neighbor,0.015300000086426735,2.244495690245592,1
breast_cancer,0,6,random_search,0.4549999994196696,1.0369811673613045,1
breast_cancer,0,7,treesat_exact,0.06190000021888409,0.6322347158456704,1
breast_cancer,0,7,nearest_neighbor,0.015999999959603883,2.9059870237395073,1
breast_cancer,0,7,random_search,0.40069999886327423,1.8411659434442877,1
breast_cancer,0,8,treesat_exact,0.05360000068321824,0.38765629168756727,1
breast_cancer,0,8,nearest_neighbor,0.013799999578623101,4.2961507678068305,1
breast_cancer,0,8,random_search,0.3832000002148561,1.1192407689942234,1
breast_cancer,0,9,treesat_exact,0.05140000030223746,0.5780291765000131,1
breast_cancer,0,9,nearest_neighbor,0.012800001059076749,3.438730113143542,1
breast_cancer,0,9,random_search,0.3785999997489853,2.43537749753773,1
breast_cancer,0,10,treesat_exact,0.056400000175926834,0.6310004013999575,1
breast_cancer,0,10,nearest_neighbor,0.022999998691375367,3.2557882138637253,1
breast_cancer,0,10,random_search,0.5958999990980374,2.3142132589912907,1
breast_cancer,0,11,treesat_exact,0.11850000009872019,1.3706497573249776,1
breast_cancer,0,11,nearest_neighbor,0.027999998565064743,5.1059458827498965,1
