dataset,seed,query_id,noise_sigma,runtime_ms,success,distance_l2,clean_distance_l2,distance_inflation
breast_cancer,0,0,0.0,0.07989999721758068,1,0.7307506032333566,0.7307506032333566,1.0
breast_cancer,0,0,0.01,0.07029998232610524,1,0.7266330268840713,0.7307506032333566,0.9943652782070022
breast_cancer,0,0,0.03,0.069500005338341,1,0.7275273856574141,0.7307506032333566,0.9955891687784031
breast_cancer,0,0,0.05,0.07430001278407872,1,0.7180188970800271,0.7307506032333566,0.9825772211517918
breast_cancer,0,0,0.1,0.05889998283237219,1,0.7791173054299413,0.7307506032333566,1.0661877006773257
breast_cancer,0,1,0.0,0.053099996875971556,1,0.16746067382926758,0.16746067382926758,1.0
breast_cancer,0,1,0.01,0.05160001455806196,1,0.1685940500415316,0.16746067382926758,1.006768014163251
breast_cancer,0,1,0.03,0.05180001608096063,1,0.20136279598530432,0.16746067382926758,1.2024482607218052
breast_cancer,0,1,0.05,0.05110001075081527,1,0.18084080169088693,0.16746067382926758,1.079900119566346
breast_cancer,0,1,0.1,0.04980000085197389,1,0.07069095637967025,0.16746067382926758,0.4221346705659523
breast_cancer,0,2,0.0,0.08080000407062471,1,1.0006365848240244,1.0006365848240244,1.0
breast_cancer,0,2,0.01,0.08579998393543065,1,1.01459636610124,1.0006365848240244,1.013950900345774
breast_cancer,0,2,0.03,0.08489997708238661,1,1.0201067754460142,1.0006365848240244,1.0194578040792042
breast_cancer,0,2,0.05,0.05329999839887023,1,0.9417043089649725,1.0006365848240244,0.9411052156668688
breast_cancer,0,2,0.1,0.05360000068321824,1,0.8423307011340571,1.0006365848240244,0.8417948273220416
breast_cancer,0,3,0.0,0.04789998638443649,1,0.5288210225525138,0.5288210225525138,1.0
breast_cancer,0,3,0.01,0.04809998790733516,1,0.5317444296701753,0.5288210225525138,1.00552815979885
breast_cancer,0,3,0.03,0.04809998790733516,1,0.4689326297525055,0.5288210225525138,0.8867511119150692
breast_cancer,0,3,0.05,0.048299989430233836,1,0.5813615749615002,0.5288210225525138,1.099354129598297
breast_cancer,0,3,0.1,0.04839999019168317,1,0.6496956636600764,0.5288210225525138,1.228573819785236
