query_key,dist_full,dist_no_cache,gap_no_cache,dist_no_order,gap_no_order,dist_no_pruning,gap_no_pruning
breast_cancer|0|0,0.1787548339141986,0.1787548339141986,0.0,0.1787548339141986,0.0,0.1787548339141986,0.0
breast_cancer|0|1,1.2141057228053438,1.2141057228053438,0.0,1.2141057228053438,0.0,1.2141057228053438,0.0
breast_cancer|0|2,0.3819255717906263,0.3819255717906263,0.0,0.3819255717906263,0.0,0.3819255717906263,0.0
breast_cancer|0|3,0.10576500453505502,0.10576500453505502,0.0,0.10576500453505502,0.0,0.10576500453505502,0.0
breast_cancer|0|4,0.2623544889817949,0.2623544889817949,0.0,0.2623544889817949,0.0,0.2623544889817949,0.0
breast_cancer|0|5,0.539761163280242,0.539761163280242,0.0,0.539761163280242,0.0,0.539761163280242,0.0
breast_cancer|0|6,1.3706497573249776,1.3706497573249776,0.0,1.3706497573249776,0.0,1.3706497573249776,0.0
breast_cancer|0|7,0.9094039413296275,0.9094039413296275,0.0,0.9094039413296275,0.0,0.9094039413296275,0.0
breast_cancer|0|8,0.40972552102118776,0.40972552102118776,0.0,0.40972552102118776,0.0,0.40972552102118776,0.0
breast_cancer|0|9,0.54142380823802,0.54142380823802,0.0,0.54142380823802,0.0,0.54142380823802,0.0
breast_cancer|0|10,0.36723612672057565,0.36723612672057565,0.0,0.36723612672057565,0.0,0.36723612672057565,0.0
breast_cancer|0|11,0.20565223095001856,0.20565223095001856,0.0,0.20565223095001856,0.0,0.20565223095001856,0.0
breast_cancer|0|12,0.8073222816419373,0.8073222816419373,0.0,0.8073222816419373,0.0,0.8073222816419373,0.0
breast_cancer|0|13,0.04406933524084246,0.04406933524084246,0.0,0.04406933524084246,0.0,0.04406933524084246,0.0
breast_cancer|0|14,0.5525596180737204,0.5525596180737204,0.0,0.5525596180737204,0.0,0.5525596180737204,0.0
breast_cancer|0|15,0.4451085662202582,0.4451085662202582,0.0,0.4451085662202582,0.0,0.4451085662202582,0.0
breast_cancer|0|16,0.7307506032333566,0.7307506032333566,0.0,0.7307506032333566,0.0,0.7307506032333566,0.0
breast_cancer|0|17,0.4130681954005144,0.4130681954005144,0.0,0.4130681954005144,0.0,0.4130681954005144,0.0
breast_cancer|0|18,0.5902197939854333,0.5902197939854333,0.0,0.5902197939854333,0.0,0.5902197939854333,0.0
breast_cancer|0|19,0.5670125796732648,0.5670125796732648,0.0,0.5670125796732648,0.0,0.5670125796732648,0.0
breast_cancer|0|20,0.04994511326886239,0.04994511326886239,0.0,0.04994511326886239,0.0,0.04994511326886239,0.0
breast_cancer|0|21,0.767389476522393,0.767389476522393,0.0,0.767389476522393,0.0,0.767389476522393,0.0
breast_cancer|0|22,0.737605179040923,0.737605179040923,0.0,0.737605179040923,0.0,0.737605179040923,0.0
breast_cancer|0|23,0.5023337824304923,0.5023337824304923,0.0,0.5023337824304923,0.0,0.5023337824304923,0.0
breast_cancer|0|24,0.1404067847445421,0.1404067847445421,0.0,0.1404067847445421,0.0,0.1404067847445421,0.0
breast_cancer|0|25,0.07810669750920463,0.07810669750920463,0.0,0.07810669750920463,0.0,0.07810669750920463,0.0
breast_cancer|0|26,0.3847329604281769,0.3847329604281769,0.0,0.3847329604281769,0.0,0.3847329604281769,0.0
breast_cancer|0|27,0.2684882675333335,0.2684882675333335,0.0,0.2684882675333335,0.0,0.2684882675333335,0.0
breast_cancer|0|28,0.18462539189781532,0.18462539189781532,0.0,0.18462539189781532,0.0,0.18462539189781532,0.0
breast_cancer|0|29,0.336711435188462,0.336711435188462,0.0,0.336711435188462,0.0,0.336711435188462,0.0
breast_cancer|0|30,0.11751556052971467,0.11751556052971467,0.0,0.11751556052971467,0.0,0.11751556052971467,0.0
breast_cancer|0|31,1.0885655392782345,1.0885655392782345,0.0,1.0885655392782345,0.0,1.0885655392782345,0.0
breast_cancer|0|32,0.6389918605778937,0.6389918605778937,0.0,0.6389918605778937,0.0,0.6389918605778937,0.0
breast_cancer|0|33,0.11298316869614333,0.11298316869614333,0.0,0.11298316869614333,0.0,0.11298316869614333,0.0
breast_cancer|0|34,0.3925036715034334,0.3925036715034334,0.0,0.3925036715034334,0.0,0.3925036715034334,0.0
breast_cancer|0|35,2.513916519624118,2.513916519624118,0.0,2.513916519624118,0.0,2.513916519624118,0.0
breast_cancer|0|36,0.5627663449982568,0.5627663449982568,0.0,0.5627663449982568,0.0,0.5627663449982568,0.0
breast_cancer|0|37,0.9414243120268253,0.9414243120268253,0.0,0.9414243120268253,0.0,0.9414243120268253,0.0
breast_cancer|0|38,0.49078353156429844,0.49078353156429844,0.0,0.49078353156429844,0.0,0.49078353156429844,0.0
breast_cancer|0|39,0.966837304643649,0.966837304643649,0.0,0.966837304643649,0.0,0.966837304643649,0.0
breast_cancer|0|40,0.5373484614895128,0.5373484614895128,0.0,0.5373484614895128,0.0,0.5373484614895128,0.0
breast_cancer|0|41,0.3814686572949634,0.3814686572949634,0.0,0.3814686572949634,0.0,0.3814686572949634,0.0
breast_cancer|0|42,0.11457867157708532,0.11457867157708532,0.0,0.11457867157708532,0.0,0.11457867157708532,0.0
breast_cancer|0|43,0.22219309292372463,0.22219309292372463,0.0,0.22219309292372463,0.0,0.22219309292372463,0.0
breast_cancer|0|44,0.5967983341575781,0.5967983341575781,0.0,0.5967983341575781,0.0,0.5967983341575781,0.0
breast_cancer|0|45,0.4150881374947777,0.4150881374947777,0.0,0.4150881374947777,0.0,0.4150881374947777,0.0
breast_cancer|0|46,0.7785270293529853,0.7785270293529853,0.0,0.7785270293529853,0.0,0.7785270293529853,0.0
breast_cancer|0|47,0.24459602688422477,0.24459602688422477,0.0,0.24459602688422477,0.0,0.24459602688422477,0.0
breast_cancer|0|48,0.16072203118186226,0.16072203118186226,0.0,0.16072203118186226,0.0,0.16072203118186226,0.0
breast_cancer|0|49,0.6307045061798342,0.6307045061798342,0.0,0.6307045061798342,0.0,0.6307045061798342,0.0
breast_cancer|0|50,0.2975400858174128,0.2975400858174128,0.0,0.2975400858174128,0.0,0.2975400858174128,0.0
breast_cancer|0|51,0.58380430193311,0.58380430193311,0.0,0.58380430193311,0.0,0.58380430193311,0.0
breast_cancer|0|52,0.6442368645008745,0.6442368645008745,0.0,0.6442368645008745,0.0,0.6442368645008745,0.0
breast_cancer|0|53,0.5535831369545119,0.5535831369545119,0.0,0.5535831369545119,0.0,0.5535831369545119,0.0
breast_cancer|0|54,0.4604641230405395,0.4604641230405395,0.0,0.4604641230405395,0.0,0.4604641230405395,0.0
breast_cancer|0|55,0.16116241411264456,0.16116241411264456,0.0,0.16116241411264456,0.0,0.16116241411264456,0.0
breast_cancer|0|56,0.26411722239020097,0.26411722239020097,0.0,0.26411722239020097,0.0,0.26411722239020097,0.0
breast_cancer|0|57,0.15130729693683279,0.15130729693683279,0.0,0.15130729693683279,0.0,0.15130729693683279,0.0
breast_cancer|0|58,0.05875778024951207,0.05875778024951207,0.0,0.05875778024951207,0.0,0.05875778024951207,0.0
breast_cancer|0|59,1.4087692462502133,1.4087692462502133,0.0,1.4087692462502133,0.0,1.4087692462502133,0.0
breast_cancer|0|60,0.21967494918939492,0.21967494918939492,0.0,0.21967494918939492,0.0,0.21967494918939492,0.0
breast_cancer|0|61,0.9932668169651456,0.9932668169651456,0.0,0.9932668169651456,0.0,0.9932668169651456,0.0
breast_cancer|0|62,0.6997193195545559,0.6997193195545559,0.0,0.6997193195545559,0.0,0.6997193195545559,0.0
breast_cancer|0|63,0.5073744327502399,0.5073744327502399,0.0,0.5073744327502399,0.0,0.5073744327502399,0.0
breast_cancer|0|64,1.1341973152511715,1.1341973152511715,0.0,1.1341973152511715,0.0,1.1341973152511715,0.0
