dataset,seed,query_key,method,runtime_ms,distance_l2,success
breast_cancer,0,breast_cancer|0|0,full,0.10870001278817654,0.1787548339141986,1
breast_cancer,0,breast_cancer|0|0,no_cache,0.13120000949129462,0.1787548339141986,1
breast_cancer,0,breast_cancer|0|0,no_order,0.19570000586099923,0.1787548339141986,1
breast_cancer,0,breast_cancer|0|0,no_pruning,0.21200001356191933,0.1787548339141986,1
breast_cancer,0,breast_cancer|0|1,full,0.08550001075491309,1.2141057228053438,1
breast_cancer,0,breast_cancer|0|1,no_cache,0.12360000982880592,1.2141057228053438,1
breast_cancer,0,breast_cancer|0|1,no_order,0.25340000865980983,1.2141057228053438,1
breast_cancer,0,breast_cancer|0|1,no_pruning,0.2683000057004392,1.2141057228053438,1
breast_cancer,0,breast_cancer|0|2,full,0.06389999180100858,0.3819255717906263,1
breast_cancer,0,breast_cancer|0|2,no_cache,0.11589998030103743,0.3819255717906263,1
breast_cancer,0,breast_cancer|0|2,no_order,0.22640000679530203,0.3819255717906263,1
breast_cancer,0,breast_cancer|0|2,no_pruning,0.2662999904714525,0.3819255717906263,1
breast_cancer,0,breast_cancer|0|3,full,0.05830000736750662,0.10576500453505502,1
breast_cancer,0,breast_cancer|0|3,no_cache,0.11150000500492752,0.10576500453505502,1
breast_cancer,0,breast_cancer|0|3,no_order,0.17309997929260135,0.10576500453505502,1
breast_cancer,0,breast_cancer|0|3,no_pruning,0.19679998513311148,0.10576500453505502,1
breast_cancer,0,breast_cancer|0|4,full,0.05660002352669835,0.2623544889817949,1
breast_cancer,0,breast_cancer|0|4,no_cache,0.10729997302405536,0.2623544889817949,1
breast_cancer,0,breast_cancer|0|4,no_order,0.1663000148255378,0.2623544889817949,1
breast_cancer,0,breast_cancer|0|4,no_pruning,0.1865000231191516,0.2623544889817949,1
breast_cancer,0,breast_cancer|0|5,full,0.05640002200379968,0.539761163280242,1
breast_cancer,0,breast_cancer|0|5,no_cache,0.10890001431107521,0.539761163280242,1
breast_cancer,0,breast_cancer|0|5,no_order,0.1669999910518527,0.539761163280242,1
breast_cancer,0,breast_cancer|0|5,no_pruning,0.1914000022225082,0.539761163280242,1
breast_cancer,0,breast_cancer|0|6,full,0.08540000999346375,1.3706497573249776,1
breast_cancer,0,breast_cancer|0|6,no_cache,0.14280001050792634,1.3706497573249776,1
breast_cancer,0,breast_cancer|0|6,no_order,0.24500000290572643,1.3706497573249776,1
breast_cancer,0,breast_cancer|0|6,no_pruning,0.2643000043462962,1.3706497573249776,1
breast_cancer,0,breast_cancer|0|7,full,0.05729999975301325,0.9094039413296275,1
breast_cancer,0,breast_cancer|0|7,no_cache,0.11470000026747584,0.9094039413296275,1
breast_cancer,0,breast_cancer|0|7,no_order,0.24220001068897545,0.9094039413296275,1
breast_cancer,0,breast_cancer|0|7,no_pruning,0.26050000451505184,0.9094039413296275,1
breast_cancer,0,breast_cancer|0|8,full,0.05469997995533049,0.40972552102118776,1
breast_cancer,0,breast_cancer|0|8,no_cache,0.10990002192556858,0.40972552102118776,1
breast_cancer,0,breast_cancer|0|8,no_order,0.16270001651719213,0.40972552102118776,1
breast_cancer,0,breast_cancer|0|8,no_pruning,0.19130000146105886,0.40972552102118776,1
breast_cancer,0,breast_cancer|0|9,full,0.05590001819655299,0.54142380823802,1
breast_cancer,0,breast_cancer|0|9,no_cache,0.11160000576637685,0.54142380823802,1
breast_cancer,0,breast_cancer|0|9,no_order,0.23589999182149768,0.54142380823802,1
breast_cancer,0,breast_cancer|0|9,no_pruning,0.2607000060379505,0.54142380823802,1
breast_cancer,0,breast_cancer|0|10,full,0.05339999916031957,0.36723612672057565,1
breast_cancer,0,breast_cancer|0|10,no_cache,0.1050999853760004,0.36723612672057565,1
breast_cancer,0,breast_cancer|0|10,no_order,0.22100002388469875,0.36723612672057565,1
breast_cancer,0,breast_cancer|0|10,no_pruning,0.2573000092525035,0.36723612672057565,1
breast_cancer,0,breast_cancer|0|11,full,0.055800017435103655,0.20565223095001856,1
breast_cancer,0,breast_cancer|0|11,no_cache,0.10729997302405536,0.20565223095001856,1
breast_cancer,0,breast_cancer|0|11,no_order,0.22009998792782426,0.20565223095001856,1
breast_cancer,0,breast_cancer|0|11,no_pruning,0.2689999819267541,0.20565223095001856,1
breast_cancer,0,breast_cancer|0|12,full,0.05299999611452222,0.8073222816419373,1
breast_cancer,0,breast_cancer|0|12,no_cache,0.10999999358318746,0.8073222816419373,1
breast_cancer,0,breast_cancer|0|12,no_order,0.16090000281110406,0.8073222816419373,1
breast_cancer,0,breast_cancer|0|12,no_pruning,0.18740000086836517,0.8073222816419373,1
breast_cancer,0,breast_cancer|0|13,full,0.052099989261478186,0.04406933524084246,1
breast_cancer,0,breast_cancer|0|13,no_cache,0.10689999908208847,0.04406933524084246,1
breast_cancer,0,breast_cancer|0|13,no_order,0.16780002624727786,0.04406933524084246,1
breast_cancer,0,breast_cancer|0|13,no_pruning,0.18929998623207211,0.04406933524084246,1
breast_cancer,0,breast_cancer|0|14,full,0.05219999002292752,0.5525596180737204,1
breast_cancer,0,breast_cancer|0|14,no_cache,0.10539998766034842,0.5525596180737204,1
breast_cancer,0,breast_cancer|0|14,no_order,0.1700000138953328,0.5525596180737204,1
breast_cancer,0,breast_cancer|0|14,no_pruning,0.1875000016298145,0.5525596180737204,1
breast_cancer,0,breast_cancer|0|15,full,0.05599998985417187,0.4451085662202582,1
breast_cancer,0,breast_cancer|0|15,no_cache,0.1078000059351325,0.4451085662202582,1
breast_cancer,0,breast_cancer|0|15,no_order,0.23380000493489206,0.4451085662202582,1
breast_cancer,0,breast_cancer|0|15,no_pruning,0.2607999776955694,0.4451085662202582,1
breast_cancer,0,breast_cancer|0|16,full,0.05289999535307288,0.7307506032333566,1
breast_cancer,0,breast_cancer|0|16,no_cache,0.6662999803666025,0.7307506032333566,1
breast_cancer,0,breast_cancer|0|16,no_order,0.49059998127631843,0.7307506032333566,1
breast_cancer,0,breast_cancer|0|16,no_pruning,0.4938000056426972,0.7307506032333566,1
breast_cancer,0,breast_cancer|0|17,full,0.129100022604689,0.4130681954005144,1
breast_cancer,0,breast_cancer|0|17,no_cache,0.1320999872405082,0.4130681954005144,1
breast_cancer,0,breast_cancer|0|17,no_order,0.16999998479150236,0.4130681954005144,1
breast_cancer,0,breast_cancer|0|17,no_pruning,0.19389999215491116,0.4130681954005144,1
breast_cancer,0,breast_cancer|0|18,full,0.05950001650489867,0.5902197939854333,1
breast_cancer,0,breast_cancer|0|18,no_cache,0.11550000635907054,0.5902197939854333,1
breast_cancer,0,breast_cancer|0|18,no_order,0.1702000154182315,0.5902197939854333,1
breast_cancer,0,breast_cancer|0|18,no_pruning,0.19320001592859626,0.5902197939854333,1
breast_cancer,0,breast_cancer|0|19,full,0.06770002073608339,0.5670125796732648,1
breast_cancer,0,breast_cancer|0|19,no_cache,0.11699998867698014,0.5670125796732648,1
breast_cancer,0,breast_cancer|0|19,no_order,0.2266000083182007,0.5670125796732648,1
breast_cancer,0,breast_cancer|0|19,no_pruning,0.25919999461621046,0.5670125796732648,1
breast_cancer,0,breast_cancer|0|20,full,0.05679999594576657,0.04994511326886239,1
breast_cancer,0,breast_cancer|0|20,no_cache,0.11470000026747584,0.04994511326886239,1
breast_cancer,0,breast_cancer|0|20,no_order,0.1660000125411898,0.04994511326886239,1
